adorable +++
attrayant ++
attrayants ++
attrayante ++
attrayantes ++
séduisant ++
séduisants ++
séduisante ++
séduisantes ++
beau +++
bel +++
beaux +++
belle +++
belles +++
rustre ---
rustres ---
confiant ++
confiants ++
confiante ++
confiantes ++
joyeux +
joyeuse +
joyeuses +
cultivé ++
cultivés ++
cultivée ++
cultivées ++
maladroit -
maladroits -
maladroite -
maladroites -
maligne ++
malignes ++
malin ++
maline ++
malines ++
malins ++
terne --
ternes --
dynamique +
dynamiques +
déçu -
déçus -
déçue -
déçues -
élégant ++
élégants ++
élégante ++
élégantes ++
énergique +
énergiques +
juste +
justes +
crasseux ---
crasseuse ---
crasseuses ---
doux ++
douce ++
douces ++
simple +
simples +
mal --
mal élevé ---
mal élevés ---
mal élevée ---
mal élevées ---
gai +
gais +
gaie +
gaies +
bien ++
biens ++
bienveillant +
bienveillants +
bienveillante +
bienveillantes +
joli +++
jolis +++
jolie +++
jolies +++
magnifique ++++
magnifiques ++++
nerveux -
nerveuse -
nerveuses -
agréable ++
agréables ++
parfait ++++
parfaits ++++
parfaite ++++
parfaites ++++
courageux ++
courageuse ++
courageuses ++
souriant ++
souriants ++
souriante ++
souriantes ++
plein d'assurance ++
pleins d'assurance ++
pleine d'assurance ++
pleines d'assurance ++
snob -
snobs -
pensif =
pensifs =
pensive =
pensives =
tendu -
tendus -
tendue -
tendues -
timide -
timides -
bouleversé --
bouleversés --
bouleversée --
bouleversées --
vivace +
vivaces +
merveilleux ++++
merveilleuse ++++
merveilleuses ++++
inquiet --
inquiets --
inquiète --
inquiètes --
sauvage --
sauvages --
laid ---
laids ---
laide ---
laides ---
moche ---
moches ---
affreux ----
affreuse ----
affreuses ----
intelligent +++
intelligents +++
intelligente +++
intelligentes +++
gros --
grosse --
grosses --
obaise ---
obaises ---
agressif --
agressifs --
agressive --
agressives --
ambitieux ++
ambitieuse ++
ambitieuses ++
amusé +
amusés +
amusée +
amusées +
assidu ++
assidus ++
assidue ++
assidues ++
attentionné ++
attentionnés ++
attentionnée ++
attentionnées ++
brave ++
braves ++
brillant +++
brillants +++
brillante +++
brillantes +++
barbare ---
barbares ---
cruel ----
cruels ----
cruelle ----
cruelles ----
combatif ++
combatifs ++
combative ++
combatives ++
co-operatif ++
co-operatifs ++
co-operative ++
co-operatives ++
lâche ---
lâches ---
dangereux ----
dangereuse ----
dangereuses ----
diligent ++
diligents ++
diligente ++
diligentes ++
déterminé ++
déterminés ++
déterminée ++
déterminées ++
désagréable --
désagréables --
franc ++
francs ++
franche ++
franches ++
intrépide +
intrépides +
généreux ++
généreuse ++
généreuses ++
génial +++
géniaux +++
géniale +++
géniales +++
doué ++
doués ++
douée ++
douées ++
utile ++
utiles ++
harmonieux +++
harmonieuse +++
harmonieuses +++
hésitant -
hésitants -
hésitante -
hésitantes -
instinctif +
instinctifs +
instinctive +
instinctives +
jaloux --
jalouse --
jalouses --
solitaire --
solitaires --
mystérieux =
mystérieuse =
