abandonner abandonne abandonnes abandonne abandonnons abandonnez abandonnent abandonnais abandonnais abandonnait abandonnions abandonniez abandonnaient abandonnerai abandonneras abandonnera abandonnerons abandonnerez abandonneront abandonnai abandonnas abandonna abandonnâmes abandonnâtes abandonnèrent abandonnerais abandonnerais abandonnerait abandonnerions abandonneriez abandonneraient abandonne abandonnes abandonne abandonnions abandonniez abandonnent abandonnasse abandonnasses abandonnât abandonnassions abandonnassiez abandonnassent abandonne abandonnons abandonnez abandonnant abandonné abandonnés abandonnée abandonnées 
abattre abats abats abat abattons abattez abattent abattais abattais abattait abattions abattiez abattaient abattrai abattras abattra abattrons abattrez abattront abattis abattis abattit abattîmes abattîtes abattirent abattrais abattrais abattrait abattrions abattriez abattraient abatte abattes abatte abattions abattiez abattent abattisse abattisses abattît abattissions abattissiez abattissent abats abattons abattez abattant abattu abattus abattue abattues 
aborder aborde abordes aborde abordons abordez abordent abordais abordais abordait abordions abordiez abordaient aborderai aborderas abordera aborderons aborderez aborderont abordai abordas aborda abordâmes abordâtes abordèrent aborderais aborderais aborderait aborderions aborderiez aborderaient aborde abordes aborde abordions abordiez abordent abordasse abordasses abordât abordassions abordassiez abordassent aborde abordons abordez abordant abordé abordés abordée abordées 
accepter accepte acceptes accepte acceptons acceptez acceptent acceptais acceptais acceptait acceptions acceptiez acceptaient accepterai accepteras acceptera accepterons accepterez accepteront acceptai acceptas accepta acceptâmes acceptâtes acceptèrent accepterais accepterais accepterait accepterions accepteriez accepteraient accepte acceptes accepte acceptions acceptiez acceptent acceptasse acceptasses acceptât acceptassions acceptassiez acceptassent accepte acceptons acceptez acceptant accepté acceptés acceptée acceptées 
accomplir accomplis accomplis accomplit accomplissons accomplissez accomplissent accomplissais accomplissais accomplissait accomplissions accomplissiez accomplissaient accomplirai accompliras accomplira accomplirons accomplirez accompliront accomplis accomplis accomplit accomplîmes accomplîtes accomplirent accomplirais accomplirais accomplirait accomplirions accompliriez accompliraient accomplisse accomplisses accomplisse accomplissions accomplissiez accomplissent accomplisse accomplisses accomplît accomplissions accomplissiez accomplissent accomplis accomplissons accomplissez accomplissant accompli accomplis accomplie accomplies 
accorder accorde accordes accorde accordons accordez accordent accordais accordais accordait accordions accordiez accordaient accorderai accorderas accordera accorderons accorderez accorderont accordai accordas accorda accordâmes accordâtes accordèrent accorderais accorderais accorderait accorderions accorderiez accorderaient accorde accordes accorde accordions accordiez accordent accordasse accordasses accordât accordassions accordassiez accordassent accorde accordons accordez accordant accordé accordés accordée accordées 
accrocher accroche accroches accroche accrochons accrochez accrochent accrochais accrochais accrochait accrochions accrochiez accrochaient accrocherai accrocheras accrochera accrocherons accrocherez accrocheront accrochai accrochas accrocha accrochâmes accrochâtes accrochèrent accrocherais accrocherais accrocherait accrocherions accrocheriez accrocheraient accroche accroches accroche accrochions accrochiez accrochent accrochasse accrochasses accrochât accrochassions accrochassiez accrochassent accroche accrochons accrochez accrochant accroché accrochés accrochée accrochées 
accueillir accueille accueilles accueille accueillons accueillez accueillent accueillais accueillais accueillait accueillions accueilliez accueillaient accueillerai accueilleras accueillera accueillerons accueillerez accueilleront accueillis accueillis accueillit accueillîmes accueillîtes accueillirent accueillerais accueillerais accueillerait accueillerions accueilleriez accueilleraient accueille accueilles accueille accueillions accueilliez accueillent accueillisse accueillisses accueillît accueillissions accueillissiez accueillissent accueille accueillons accueillez accueillant accueilli accueillis accueillie accueillies 
accuser accuse accuses accuse accusons accusez accusent accusais accusais accusait accusions accusiez accusaient accuserai accuseras accusera accuserons accuserez accuseront accusai accusas accusa accusâmes accusâtes accusèrent accuserais accuserais accuserait accuserions accuseriez accuseraient accuse accuses accuse accusions accusiez accusent accusasse accusasses accusât accusassions accusassiez accusassent accuse accusons accusez accusant accusé accusés accusée accusées 
acheter achète achètes achète achetons achetez achètent achetais achetais achetait achetions achetiez achetaient achèterai achèteras achètera achèterons achèterez achèteront achetai achetas acheta achetâmes achetâtes achetèrent achèterais achèterais achèterait achèterions achèteriez achèteraient achète achètes achète achetions achetiez achètent achetasse achetasses achetât achetassions achetassiez achetassent achète achetons achetez achetant acheté achetés achetée achetées 
